"Team.1","Team.2","Team 1 Points","Team 2 Points","Match Winner","Knockout"
"Netherlands","Iran",5,5,"Iran","Round Of 16"
"England","Senegal",0,10,"Senegal","Round Of 16"
"Mexico","Denmark",8,2,"Mexico","Round Of 16"
"France","Argentina",3,7,"Argentina","Round Of 16"
"Spain","Morocco",8,2,"Spain","Round Of 16"
"Croatia","Japan",2,8,"Japan","Round Of 16"
"Brazil","Uruguay",7,3,"Brazil","Round Of 16"
"Portugal","Serbia",8,2,"Portugal","Round Of 16"
"Iran","Mexico",2,8,"Mexico","Quarter Final"
"Senegal","Argentina",2,8,"Argentina","Quarter Final"
"Spain","Brazil",2,8,"Brazil","Quarter Final"
"Japan","Portugal",4,6,"Portugal","Quarter Final"
"Mexico","Brazil",6,4,"Mexico","Semi Final"
"Argentina","Portugal",4,6,"Portugal","Semi Final"
"Mexico","Portugal",2,8,"Portugal","Final"
